,user_id,age,place_of_living
975,54-002-183-01,38,1
976,54-002-182-01,69,1
977,54-501-021-01,67,2
978,54-501-020-01,42,1
979,54-002-181-01,45,1
980,54-002-180-01,62,1
981,54-501-019-01,65,2
982,54-002-159-02,40,1
983,54-002-159-01,40,1
984,54-002-158-01,53,1
985,54-002-179-01,61,1
986,54-501-018-01,51,1
987,54-002-178-01,45,1
988,54-002-177-01,56,1
989,54-002-176-01,50,1
990,54-002-174-01,56,1
991,54-501-016-01,65,1
992,54-002-173-01,56,1
993,54-002-171-01,56,1
994,54-501-013-01,36,2
995,54-002-170-01,41,1
996,54-002-169-01,57,1
997,54-002-150-01,58,1
